7350
(-1.650000, 1.650000, -1.644827) (-1.750000, 1.550000, -1.644827) (0.000000, 1.000000) 
(-1.750000, 1.650000, -1.744514) (-1.750000, 1.650000, -1.744514) (0.000000, 1.000000) 
(-1.650000, 1.650000, -1.644827) (-1.750000, 1.650000, -1.644827) (0.000000, 1.000000) 
(-1.750000, 1.750000, -1.721975) (-1.750000, 1.650000, -1.721975) (0.000000, 1.000000) 
(-1.750000, 1.750000, -1.721975) (-1.750000, 1.650000, -1.721975) (0.000000, 1.000000) 
(-1.650000, 1.650000, -1.644827) (-1.750000, 1.650000, -1.644827) (0.000000, 1.000000) 
(-1.650000, 1.750000, -1.623577) (-1.750000, 1.650000, -1.623577) (0.000000, 1.000000) 
(-1.650000, -1.750000, 1.623577) (-1.650000, -1.750000, 1.623577) (0.000000, 1.000000) 
(-1.550000, -1.750000, 1.525178) (-1.650000, -1.750000, 1.525178) (0.000000, 1.000000) 
(-1.650000, -1.650000, 1.644827) (-1.650000, -1.750000, 1.644827) (0.000000, 1.000000) 
(-1.650000, -1.650000, 1.644827) (-1.650000, -1.750000, 1.644827) (0.000000, 1.000000) 
(-1.550000, -1.750000, 1.525178) (-1.650000, -1.750000, 1.525178) (0.000000, 1.000000) 
(-1.550000, -1.650000, 1.545141) (-1.650000, -1.750000, 1.545141) (0.000000, 1.000000) 
(-1.650000, -1.650000, 1.644827) (-1.650000, -1.650000, 1.644827) (0.000000, 1.000000) 
(-1.550000, -1.650000, 1.545141) (-1.650000, -1.650000, 1.545141) (0.000000, 1.000000) 
(-1.650000, -1.550000, 1.649643) (-1.650000, -1.650000, 1.649643) (0.000000, 1.000000) 
(-1.650000, -1.550000, 1.649643) (-1.650000, -1.650000, 1.649643) (0.000000, 1.000000) 
(-1.550000, -1.650000, 1.545141) (-1.650000, -1.650000, 1.545141) (0.000000, 1.000000) 
(-1.550000, -1.550000, 1.549665) (-1.650000, -1.650000, 1.549665) (0.000000, 1.000000) 
(-1.650000, -1.550000, 1.649643) (-1.650000, -1.550000, 1.649643) (0.000000, 1.000000) 
(-1.550000, -1.550000, 1.549665) (-1.650000, -1.550000, 1.549665) (0.000000, 1.000000) 
(-1.650000, -1.450000, 1.637976) (-1.650000, -1.550000, 1.637976) (0.000000, 1.000000) 
(-1.650000, -1.450000, 1.637976) (-1.650000, -1.550000, 1.637976) (0.000000, 1.000000) 
(-1.550000, -1.550000, 1.549665) (-1.650000, -1.550000, 1.549665) (0.000000, 1.000000) 
(-1.550000, -1.450000, 1.538705) (-1.650000, -1.550000, 1.538705) (0.000000, 1.000000) 
(-1.650000, -1.450000, 1.637976) (-1.650000, -1.450000, 1.637976) (0.000000, 1.000000) 
(-1.550000, -1.450000, 1.538705) (-1.650000, -1.450000, 1.538705) (0.000000, 1.000000) 
(-1.650000, -1.350000, 1.609944) (-1.650000, -1.450000, 1.609944) (0.000000, 1.000000) 
(-1.650000, -1.350000, 1.609944) (-1.650000, -1.450000, 1.609944) (0.000000, 1.000000) 
(-1.550000, -1.450000, 1.538705) (-1.650000, -1.450000, 1.538705) (0.000000, 1.000000) 
(-1.550000, -1.350000, 1.512371) (-1.650000, -1.450000, 1.512371) (0.000000, 1.000000) 
(-1.650000, -1.350000, 1.609944) (-1.650000, -1.350000, 1.609944) (0.000000, 1.000000) 
(-1.550000, -1.350000, 1.512371) (-1.650000, -1.350000, 1.512371) (0.000000, 1.000000) 
(-1.650000, -1.250000, 1.565825) (-1.650000, -1.350000, 1.565825) (0.000000, 1.000000) 
(-1.650000, -1.250000, 1.565825) (-1.650000, -1.350000, 1.565825) (0.000000, 1.000000) 
(-1.550000, -1.350000, 1.512371) (-1.650000, -1.350000, 1.512371) (0.000000, 1.000000) 
(-1.550000, -1.250000, 1.470926) (-1.650000, -1.350000, 1.470926) (0.000000, 1.000000) 
