24576
(-8.000000, -0.000000, 0.000000) (0.000000, 0.000000, -0.000000) (0.000000, 1.000000) 
(-7.750000, 0.000000, 0.000000) (0.000000, 0.000000, 0.000000) (0.000000, 1.000000) 
(-8.000000, -0.071995, 0.250000) (0.000000, 0.000000, -0.071995) (0.000000, 1.000000) 
(-8.000000, -0.071995, 0.250000) (0.000000, 0.000000, -0.071995) (0.000000, 1.000000) 
(-7.750000, 0.000000, 0.000000) (0.000000, 0.000000, 0.000000) (0.000000, 1.000000) 
(-7.750000, 0.051358, 0.250000) (0.000000, 0.000000, 0.051358) (0.000000, 1.000000) 
(-8.000000, -0.071995, 0.250000) (0.000000, 0.000000, -0.071995) (0.000000, 1.000000) 
(-7.750000, 0.051358, 0.250000) (0.000000, 0.000000, 0.051358) (0.000000, 1.000000) 
(-8.000000, -0.139513, 0.500000) (0.000000, 0.000000, -0.139513) (0.000000, 1.000000) 
(-8.000000, -0.139513, 0.500000) (0.000000, 0.000000, -0.139513) (0.000000, 1.000000) 
(-7.750000, 0.051358, 0.250000) (0.000000, 0.000000, 0.051358) (0.000000, 1.000000) 
(-7.750000, 0.099523, 0.500000) (0.000000, 0.000000, 0.099523) (0.000000, 1.000000) 
(-8.000000, -0.139513, 0.500000) (0.000000, 0.000000, -0.139513) (0.000000, 1.000000) 
(-7.750000, 0.099523, 0.500000) (0.000000, 0.000000, 0.099523) (0.000000, 1.000000) 
(-8.000000, -0.198357, 0.750000) (0.000000, 0.000000, -0.198357) (0.000000, 1.000000) 
(-8.000000, -0.198357, 0.750000) (0.000000, 0.000000, -0.198357) (0.000000, 1.000000) 
(-7.750000, 0.099523, 0.500000) (0.000000, 0.000000, 0.099523) (0.000000, 1.000000) 
(-7.750000, 0.141501, 0.750000) (0.000000, 0.000000, 0.141501) (0.000000, 1.000000) 
(-8.000000, -0.198357, 0.750000) (0.000000, 0.000000, -0.198357) (0.000000, 1.000000) 
(-7.750000, 0.141501, 0.750000) (0.000000, 0.000000, 0.141501) (0.000000, 1.000000) 
(-8.000000, -0.244868, 1.000000) (0.000000, 0.000000, -0.244868) (0.000000, 1.000000) 
(-8.000000, -0.244868, 1.000000) (0.000000, 0.000000, -0.244868) (0.000000, 1.000000) 
(-7.750000, 0.141501, 0.750000) (0.000000, 0.000000, 0.141501) (0.000000, 1.000000) 
(-7.750000, 0.174680, 1.000000) (0.000000, 0.000000, 0.174680) (0.000000, 1.000000) 
(-8.000000, -0.244868, 1.000000) (0.000000, 0.000000, -0.244868) (0.000000, 1.000000) 
(-7.750000, 0.174680, 1.000000) (0.000000, 0.000000, 0.174680) (0.000000, 1.000000) 
(-8.000000, -0.276155, 1.250000) (0.000000, 0.000000, -0.276155) (0.000000, 1.000000) 
